车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
捷途X70,贵阳,151,SUV,10.69-14.99,燃油车,12.84,0
奔驰S级,天津,13,大型车,96.26-204.26,燃油车,150.26,0
长安CS75 PLUS,宜宾,36,SUV,11.39-14.99,燃油车,13.190000000000001,0
极狐考拉,昆明,212,MPV,11.98-16.98,燃油车,14.48,0
哈弗H6,遵义,28,SUV,9.89-14.69,燃油车,12.29,0
埃尔法,唐山,24,MPV,89.90-92.90,燃油车,91.4,0
熊猫,沧州,57,微型车,2.99-5.39,燃油车,4.1899999999999995,0
领克01,无锡,11,SUV,14.98-19.68,燃油车,17.33,0
小鹏G6,沈阳,24,SUV,17.68-27.69,新能源,22.685000000000002,1
元PLUS,钦州,14,SUV,11.58-14.78,新能源,13.18,1
熊猫,佛山,83,微型车,2.99-5.39,燃油车,4.1899999999999995,0
奕跑,宁波,34,SUV,6.98-8.38,燃油车,7.680000000000001,0
宝马X5,怀化,12,SUV,61.50-83.00,燃油车,72.25,0
轩逸,韶关,56,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
海鸥,安顺,28,小型车,6.98-8.58,新能源,7.78,1
昂科威Plus,淮北,18,SUV,22.99-25.99,燃油车,24.49,0
博越L,延边,14,SUV,9.99-14.97,燃油车,12.48,0
奔驰C级,黔南,18,中型车,33.48-38.06,燃油车,35.769999999999996,0
海豹05 DM-i,长春,235,紧凑型车,7.98-10.38,新能源,9.18,1
海鸥,益阳,21,小型车,6.98-8.58,新能源,7.78,1
五菱荣光,楚雄,11,MPV,5.09-5.76,燃油车,5.425,0
捷途山海L9,芜湖,23,SUV,16.49-24.29,燃油车,20.39,0
宋PLUS新能源,湘潭,33,SUV,13.58-18.08,新能源,15.829999999999998,1
海豚,汉中,58,小型车,9.98-12.98,新能源,11.48,1
宏光MINIEV,郑州,345,微型车,3.28-9.99,新能源,6.635,1
悦意03,日照,17,SUV,7.98-12.29,燃油车,10.135,0
宋PLUS新能源,阳泉,28,SUV,13.58-18.08,新能源,15.829999999999998,1
海豹06新能源,临夏,13,中型车,9.98-13.98,新能源,11.98,1
银河星舰7 EM-i,厦门,17,SUV,10.38-13.68,燃油车,12.030000000000001,0
宏光MINIEV,沈阳,186,微型车,3.28-9.99,新能源,6.635,1
极狐 阿尔法S5,苏州,97,中型车,12.78-18.48,燃油车,15.629999999999999,0
埃尔法,哈尔滨,16,MPV,89.90-92.90,燃油车,91.4,0
极氪007GT,南京,273,中型车,20.29-26.29,新能源,23.29,1
传祺M8,佛山,55,MPV,17.98-34.28,燃油车,26.130000000000003,0
雷克萨斯RX,贵阳,12,SUV,38.00-61.90,燃油车,49.95,0
海鸥,怀化,27,小型车,6.98-8.58,新能源,7.78,1
风云T9,昆明,39,SUV,12.99-19.39,燃油车,16.19,0
宝马5系,邢台,81,中大型车,43.99-52.59,燃油车,48.290000000000006,0
宏光MINIEV,商丘,429,微型车,3.28-9.99,新能源,6.635,1
格瑞维亚,晋中,27,MPV,29.98-41.68,燃油车,35.83,0
宋Pro新能源,绵阳,24,SUV,10.28-14.28,新能源,12.28,1
