车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
星愿,郑州,1403,小型车,6.88-9.78,燃油车,8
长安Lumin,武汉,1346,微型车,3.79-6.59,燃油车,8
皓瀚,武汉,1124,SUV,8.99-13.69,燃油车,8
纳米01,武汉,1100,小型车,6.58-13.98,燃油车,8
零跑C10,厦门,100,SUV,12.28-16.88,新能源,9
秦PLUS,厦门,100,紧凑型车,7.98-17.98,新能源,0
熊猫,郑州,1099,微型车,2.99-5.39,燃油车,8
凯美瑞,广州,1041,中型车,17.18-25.98,燃油车,8
星愿,洛阳,933,小型车,6.88-9.78,燃油车,8
本田CR-V,武汉,888,SUV,18.59-26.39,燃油车,8
元PLUS,洛阳,100,SUV,11.58-14.78,新能源,9
五菱缤果,柳州,867,小型车,5.68-8.88,燃油车,8
秦L,九江,100,中型车,9.98-15.38,新能源,7
元PLUS,济宁,100,SUV,11.58-14.78,新能源,9
朗逸,石家庄,851,紧凑型车,8.00-15.19,燃油车,8
朗逸,郑州,834,紧凑型车,8.00-15.19,燃油车,8
皓影,广州,818,SUV,18.59-26.39,燃油车,8
零跑C10,东莞,100,SUV,12.28-16.88,新能源,9
星愿,温州,783,小型车,6.88-9.78,燃油车,8
汉,沧州,100,中大型车,16.58-25.98,新能源,11
亚洲龙,广州,781,中型车,17.88-27.98,燃油车,8
迈腾,石家庄,777,中型车,17.49-24.69,燃油车,8
RAV4荣放,广州,772,SUV,16.98-26.38,燃油车,8
星越L,成都,748,SUV,13.72-17.97,燃油车,8
凯美瑞,东莞,747,中型车,17.18-25.98,燃油车,8
小鹏G6,西安,100,SUV,17.68-27.69,新能源,9
蔚来EC6,西安,100,SUV,35.80-41.60,新能源,9
卡罗拉锐放,广州,733,SUV,12.98-18.48,燃油车,8
汉兰达,西安,100,SUV,24.98-34.88,新能源,9
星愿,济宁,723,小型车,6.88-9.78,燃油车,8
雷克萨斯ES,广州,719,中大型车,29.69-48.89,燃油车,8
乐道L60,合肥,712,SUV,20.69-25.59,燃油车,8
锋兰达,广州,703,SUV,12.58-18.48,燃油车,8
途观L,成都,688,SUV,18.68-26.68,燃油车,8
乐道L60,上海,687,SUV,20.69-25.59,燃油车,8
宝马3系,上海,669,中型车,29.99-39.99,燃油车,8
长安CS75 PLUS,重庆,663,SUV,11.39-14.99,燃油车,8
问界M5,南京,100,SUV,22.98-27.98,新能源,9
雅阁,广州,659,中型车,17.98-23.88,燃油车,8
本田CR-V,郑州,649,SUV,18.59-26.39,燃油车,8
轩逸,佛山,648,紧凑型车,10.86-17.49,燃油车,10
轩逸,天津,626,紧凑型车,10.86-17.49,燃油车,10
星愿,临沂,622,小型车,6.88-9.78,燃油车,8
MG5,天津,612,紧凑型车,6.79-9.99,燃油车,8
帕萨特,北京,605,中型车,16.45-23.99,燃油车,5
宏光MINIEV,广州,100,微型车,3.28-9.99,新能源,0
帕萨特,郑州,603,中型车,16.45-23.99,燃油车,5
海狮05 EV,福州,100,SUV,11.78-13.78,新能源,9
长安Lumin,石家庄,598,微型车,3.79-6.59,燃油车,8
宝马3系,成都,598,中型车,29.99-39.99,燃油车,8
元PLUS,长沙,100,SUV,11.58-14.78,新能源,9
星愿,台州,597,小型车,6.88-9.78,燃油车,8
缤越,郑州,593,SUV,6.68-10.38,燃油车,8
零跑B10,北京,100,SUV,9.98-14.98,新能源,9
秦L,北京,1000,中型车,9.98-15.38,新能源,8
宋PLUS新能源,中山,101,SUV,13.58-18.08,新能源,9
星愿,商丘,591,小型车,6.88-9.78,燃油车,8
奥迪A6L,郑州,586,中大型车,42.79-65.68,燃油车,8
宝马3系,杭州,584,中型车,29.99-39.99,燃油车,8
雅阁,东莞,581,中型车,17.98-23.88,燃油车,8
理想L6,徐州,101,SUV,24.98-27.98,新能源,9
T-ROC探歌,广州,579,SUV,15.89-17.87,燃油车,8
宋Pro新能源,邢台,101,SUV,10.28-14.28,新能源,9
秦L,厦门,101,中型车,9.98-15.38,新能源,7
小鹏P7+,无锡,101,中大型车,18.68-20.88,新能源,11
海狮05 EV,台州,101,SUV,11.78-13.78,新能源,9
小鹏MONA M03,台州,101,紧凑型车,11.98-15.58,新能源,0
星愿,杭州,578,小型车,6.88-9.78,燃油车,8
星愿,徐州,576,小型车,6.88-9.78,燃油车,8
宝马3系,苏州,576,中型车,29.99-39.99,燃油车,8
亚洲龙,东莞,573,中型车,17.88-27.98,燃油车,4
迈腾,北京,569,中型车,17.49-24.69,燃油车,6
雷凌,广州,569,紧凑型车,11.38-14.88,燃油车,8
奔驰GLC,上海,558,SUV,42.78-53.13,燃油车,8
海豚,金华,101,小型车,9.98-12.98,新能源,0
问界M9,嘉兴,101,SUV,46.98-56.98,新能源,9
雷克萨斯ES,深圳,555,中大型车,29.69-48.89,燃油车,8
宋Pro新能源,惠州,101,SUV,10.28-14.28,新能源,9
秦PLUS,赣州,101,紧凑型车,7.98-17.98,新能源,0
长安启源Q07,重庆,552,SUV,12.98-17.18,燃油车,8
秦PLUS,阜阳,101,紧凑型车,7.98-17.98,新能源,0
小鹏G9,佛山,101,SUV,24.88-35.99,新能源,9
红旗E-QM5,长春,552,中型车,12.18-23.98,燃油车,6
理想L7,常州,101,SUV,30.18-35.98,新能源,9
宏光MINIEV,长治,101,微型车,3.28-9.99,新能源,0
