cluster,,城市
0,重庆,68 (5.8%)
0,杭州,16 (1.4%)
0,南京,12 (1.0%)
0,郑州,12 (1.0%)
0,深圳,12 (1.0%)
0,宁波,11 (0.9%)
0,上海,11 (0.9%)
0,石家庄,11 (0.9%)
0,苏州,11 (0.9%)
0,合肥,10 (0.9%)
0,贵阳,
0,武汉,
0,昆明,
0,北京,
0,无锡,
0,天津,
0,济南,
0,成都,
0,西安,
0,长沙,
0,衡水,
0,沈阳,
0,鞍山,
0,青岛,
0,台州,
0,佛山,
0,广州,
0,常州,
0,保定,
0,烟台,
0,东莞,
0,乌鲁木齐,
0,哈尔滨,
1,重庆,
1,杭州,31 (1.3%)
1,南京,
1,郑州,41 (1.7%)
1,深圳,
1,宁波,
1,上海,
1,石家庄,
1,苏州,
1,合肥,
1,贵阳,72 (3.1%)
1,武汉,35 (1.5%)
1,昆明,34 (1.4%)
1,北京,33 (1.4%)
1,无锡,32 (1.4%)
1,天津,32 (1.4%)
1,济南,31 (1.3%)
1,成都,29 (1.2%)
1,西安,
1,长沙,
1,衡水,
1,沈阳,
1,鞍山,
1,青岛,
1,台州,
1,佛山,
1,广州,
1,常州,
1,保定,
1,烟台,
1,东莞,
1,乌鲁木齐,
1,哈尔滨,
2,重庆,
2,杭州,
2,南京,
2,郑州,104 (0.9%)
2,深圳,
2,宁波,
2,上海,114 (1.0%)
2,石家庄,
2,苏州,233 (2.1%)
2,合肥,
2,贵阳,
2,武汉,99 (0.9%)
2,昆明,108 (1.0%)
2,北京,107 (1.0%)
2,无锡,
2,天津,108 (1.0%)
2,济南,103 (0.9%)
2,成都,
2,西安,100 (0.9%)
2,长沙,99 (0.9%)
2,衡水,
2,沈阳,
2,鞍山,
2,青岛,
2,台州,
2,佛山,
2,广州,
2,常州,
2,保定,
2,烟台,
2,东莞,
2,乌鲁木齐,
2,哈尔滨,
3,重庆,
3,杭州,
3,南京,28 (0.9%)
3,郑州,
3,深圳,
3,宁波,24 (0.8%)
3,上海,
3,石家庄,
3,苏州,
3,合肥,25 (0.8%)
3,贵阳,
3,武汉,27 (0.9%)
3,昆明,
3,北京,27 (0.9%)
3,无锡,
3,天津,
3,济南,24 (0.8%)
3,成都,
3,西安,25 (0.8%)
3,长沙,26 (0.9%)
3,衡水,31 (1.0%)
3,沈阳,28 (0.9%)
3,鞍山,
3,青岛,
3,台州,
3,佛山,
3,广州,
3,常州,
3,保定,
3,烟台,
3,东莞,
3,乌鲁木齐,
3,哈尔滨,
4,重庆,23 (1.0%)
4,杭州,
4,南京,
4,郑州,24 (1.0%)
4,深圳,
