cluster,,级别
0,紧凑型车,786 (67.4%)
0,小型车,158 (13.6%)
0,微型车,96 (8.2%)
0,MPV,87 (7.5%)
0,SUV,28 (2.4%)
0,中型车,7 (0.6%)
0,中大型车,3 (0.3%)
0,大型车,1 (0.1%)
0,跑车,
0,不限,
1,紧凑型车,7 (0.3%)
1,小型车,79 (3.4%)
1,微型车,243 (10.3%)
1,MPV,1977 (84.1%)
1,SUV,32 (1.4%)
1,中型车,6 (0.3%)
1,中大型车,5 (0.2%)
1,大型车,2 (0.1%)
1,跑车,1 (0.0%)
1,不限,
2,紧凑型车,12 (0.1%)
2,小型车,30 (0.3%)
2,微型车,29 (0.3%)
2,MPV,25 (0.2%)
2,SUV,10864 (98.9%)
2,中型车,5 (0.0%)
2,中大型车,5 (0.0%)
2,大型车,8 (0.1%)
2,跑车,4 (0.0%)
2,不限,
3,紧凑型车,2901 (97.9%)
3,小型车,29 (1.0%)
3,微型车,18 (0.6%)
3,MPV,6 (0.2%)
3,SUV,4 (0.1%)
3,中型车,2 (0.1%)
3,中大型车,1 (0.0%)
3,大型车,2 (0.1%)
3,跑车,1 (0.0%)
3,不限,
4,紧凑型车,4 (0.2%)
4,小型车,197 (8.3%)
4,微型车,238 (10.1%)
4,MPV,7 (0.3%)
4,SUV,25 (1.1%)
4,中型车,1782 (75.5%)
4,中大型车,1 (0.0%)
4,大型车,81 (3.4%)
4,跑车,24 (1.0%)
4,不限,1 (0.0%)
5,紧凑型车,5 (0.7%)
5,小型车,97 (13.6%)
5,微型车,43 (6.0%)
5,MPV,1 (0.1%)
5,SUV,9 (1.3%)
5,中型车,557 (77.9%)
5,中大型车,1 (0.1%)
5,大型车,1 (0.1%)
5,跑车,1 (0.1%)
5,不限,
6,紧凑型车,7 (1.3%)
6,小型车,94 (17.2%)
6,微型车,25 (4.6%)
6,MPV,7 (1.3%)
6,SUV,20 (3.6%)
6,中型车,381 (69.5%)
6,中大型车,4 (0.7%)
6,大型车,6 (1.1%)
6,跑车,4 (0.7%)
6,不限,
7,紧凑型车,2 (0.1%)
7,小型车,61 (4.5%)
7,微型车,50 (3.7%)
7,MPV,55 (4.1%)
7,SUV,7 (0.5%)
7,中型车,1163 (86.5%)
7,中大型车,5 (0.4%)
7,大型车,2 (0.1%)
7,跑车,
7,不限,
8,紧凑型车,16 (6.8%)
8,小型车,31 (13.1%)
8,微型车,11 (4.6%)
8,MPV,4 (1.7%)
8,SUV,123 (51.9%)
8,中型车,27 (11.4%)
8,中大型车,25 (10.5%)
8,大型车,
8,跑车,
8,不限,
9,紧凑型车,1 (0.0%)
9,小型车,328 (5.7%)
9,微型车,210 (3.7%)
9,MPV,34 (0.6%)
9,SUV,5143 (89.6%)
9,中型车,5 (0.1%)
9,中大型车,4 (0.1%)
9,大型车,12 (0.2%)
9,跑车,
9,不限,1 (0.0%)
10,紧凑型车,653 (88.5%)
10,小型车,32 (4.3%)
10,微型车,10 (1.4%)
10,MPV,13 (1.8%)
10,SUV,18 (2.4%)
10,中型车,1 (0.1%)
10,中大型车,4 (0.5%)
10,大型车,4 (0.5%)
10,跑车,3 (0.4%)
10,不限,
11,紧凑型车,3 (0.4%)
11,小型车,41 (5.1%)
11,微型车,28 (3.5%)
11,MPV,29 (3.6%)
11,SUV,5 (0.6%)
11,中型车,6 (0.7%)
11,中大型车,691 (86.1%)
11,大型车,
11,跑车,
11,不限,
12,紧凑型车,7 (0.5%)
12,小型车,107 (7.5%)
12,微型车,52 (3.6%)
12,MPV,5 (0.3%)
12,SUV,32 (2.2%)
12,中型车,5 (0.3%)
12,中大型车,1209 (84.5%)
12,大型车,10 (0.7%)
12,跑车,2 (0.1%)
12,不限,1 (0.1%)
13,紧凑型车,2 (0.1%)
13,小型车,35 (2.2%)
13,微型车,19 (1.2%)
13,MPV,4 (0.3%)
13,SUV,1277 (81.5%)
13,中型车,216 (13.8%)
13,中大型车,4 (0.3%)
13,大型车,5 (0.3%)
13,跑车,4 (0.3%)
13,不限,1 (0.1%)
