cluster,,车型
0,秦PLUS,292 (25.0%)
0,海豹05 DM-i,181 (15.5%)
0,小鹏MONA M03,138 (11.8%)
0,海鸥,97 (8.3%)
0,宏光MINIEV,88 (7.5%)
0,AION RT,83 (7.1%)
0,海豚,53 (4.5%)
0,AION S,42 (3.6%)
0,腾势D9,34 (2.9%)
0,别克GL8新能源,21 (1.8%)
0,熊猫,
0,五菱宏光S,
0,五菱宏光V,
0,赛那SIENNA,
0,传祺M8,
0,格瑞维亚,
0,五菱宏光新能源,
0,别克GL8,
0,传祺M6,
0,长安CS75 PLUS,
0,本田CR-V,
0,探岳,
0,星越L,
0,博越L,
0,缤越,
0,捷途X70,
0,RAV4荣放,
0,锋兰达,
0,皓影,
0,逸动,
0,帝豪,
0,速腾,
0,朗逸,
0,艾瑞泽8,
0,星瑞,
0,宝来,
0,银河L6,
0,荣威i5,
0,思域,
0,亚洲龙,
0,宝马3系,
0,红旗H5,
0,雅阁,
0,奔驰C级,
0,君威,
0,君越,
0,奥迪A4L,
0,天籁,
0,凯迪拉克CT5,
0,帕萨特,
0,星愿,
0,五菱缤果,
0,迈腾,
0,长安Lumin,
0,红旗E-QM5,
0,秦L,
0,海豹06新能源,
0,海豹06GT,
0,Model 3,
0,阿维塔06,
0,海豹07 DM-i,
0,极氪007GT,
0,深蓝L07,
0,蔚来ET5T,
0,Model Y,
0,小米SU7,
0,理想L6,
0,宋PLUS新能源,
0,问界M9,
0,理想L7,
0,宋Pro新能源,
0,宋L DM-i,
0,元UP,
0,元PLUS,
0,海狮05 EV,
0,深蓝S05,
0,问界M8,
0,汉兰达,
0,轩逸,
0,卡罗拉,
0,奥迪A3,
0,汉,
0,汉L,
0,小鹏P7+,
0,享界S9,
0,极氪001,
0,小米SU7 Ultra,
0,星纪元 ES,
0,阿维塔12,
0,奔驰E级新能源,
0,奥迪A6L,
0,宝马5系,
0,奔驰E级,
0,银河星耀8,
0,长安启源A07,
0,雷克萨斯ES,
0,日产N7,
0,银河E8,
0,奥迪A7L,
0,凯美瑞,
0,途观L,
0,卡罗拉锐放,
0,途岳,
0,奔驰GLC,
0,奥迪Q5L,
1,秦PLUS,
1,海豹05 DM-i,
1,小鹏MONA M03,
1,海鸥,
1,宏光MINIEV,
1,AION RT,
1,海豚,
1,AION S,
1,腾势D9,
1,别克GL8新能源,74 (3.1%)
1,熊猫,195 (8.3%)
1,五菱宏光S,149 (6.3%)
1,五菱宏光V,140 (6.0%)
1,赛那SIENNA,136 (5.8%)
1,传祺M8,103 (4.4%)
1,格瑞维亚,102 (4.3%)
1,五菱宏光新能源,86 (3.7%)
1,别克GL8,83 (3.5%)
1,传祺M6,72 (3.1%)
1,长安CS75 PLUS,
1,本田CR-V,
1,探岳,
1,星越L,
1,博越L,
1,缤越,
1,捷途X70,
1,RAV4荣放,
1,锋兰达,
1,皓影,
1,逸动,
1,帝豪,
1,速腾,
1,朗逸,
1,艾瑞泽8,
1,星瑞,
1,宝来,
1,银河L6,
1,荣威i5,
1,思域,
1,亚洲龙,
1,宝马3系,
1,红旗H5,
1,雅阁,
1,奔驰C级,
1,君威,
1,君越,
1,奥迪A4L,
1,天籁,
1,凯迪拉克CT5,
1,帕萨特,
1,星愿,
1,五菱缤果,
1,迈腾,
1,长安Lumin,
1,红旗E-QM5,
1,秦L,
1,海豹06新能源,
1,海豹06GT,
1,Model 3,
1,阿维塔06,
1,海豹07 DM-i,
1,极氪007GT,
1,深蓝L07,
1,蔚来ET5T,
1,Model Y,
1,小米SU7,
1,理想L6,
1,宋PLUS新能源,
1,问界M9,
1,理想L7,
1,宋Pro新能源,
1,宋L DM-i,
1,元UP,
1,元PLUS,
1,海狮05 EV,
1,深蓝S05,
1,问界M8,
1,汉兰达,
1,轩逸,
1,卡罗拉,
1,奥迪A3,
1,汉,
1,汉L,
1,小鹏P7+,
1,享界S9,
1,极氪001,
1,小米SU7 Ultra,
1,星纪元 ES,
1,阿维塔12,
1,奔驰E级新能源,
1,奥迪A6L,
1,宝马5系,
1,奔驰E级,
1,银河星耀8,
1,长安启源A07,
1,雷克萨斯ES,
1,日产N7,
1,银河E8,
1,奥迪A7L,
1,凯美瑞,
1,途观L,
1,卡罗拉锐放,
1,途岳,
1,奔驰GLC,
1,奥迪Q5L,
2,秦PLUS,
2,海豹05 DM-i,
2,小鹏MONA M03,
2,海鸥,
2,宏光MINIEV,
2,AION RT,
2,海豚,
2,AION S,
2,腾势D9,
2,别克GL8新能源,
2,熊猫,
2,五菱宏光S,
2,五菱宏光V,
2,赛那SIENNA,
2,传祺M8,
2,格瑞维亚,
2,五菱宏光新能源,
2,别克GL8,
2,传祺M6,
2,长安CS75 PLUS,262 (2.4%)
2,本田CR-V,221 (2.0%)
2,探岳,192 (1.7%)
2,星越L,192 (1.7%)
2,博越L,192 (1.7%)
2,缤越,186 (1.7%)
2,捷途X70,186 (1.7%)
